ruleset_id,ruleset_nm,folder_path,ruleset_desc,rule_id,rule_nm,rule_desc,rule_seq_no,conditional,record_rule_fired_flag,datatype,lhs_term,expression,expression_type,expression_order
7a925f47-e58f-4886-b3ef-2e42d952a549,prospective_customer_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,7356f78b-56f2-4f37-beb4-9734d43ade48,Default_assignment_1,assignment,1,if,N,integer,ApproveFlag,"0",ACTION,1
7a925f47-e58f-4886-b3ef-2e42d952a549,prospective_customer_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,117cf70d-7fa7-428d-9bed-34f7fa4eed02,Current customer credit conditions,,2,if,Y,decimal,orig_credit_score,">= 680",CONDITION,1
7a925f47-e58f-4886-b3ef-2e42d952a549,prospective_customer_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,117cf70d-7fa7-428d-9bed-34f7fa4eed02,Current customer credit conditions,,2,if,Y,decimal,orig_debt_to_income,"<= 40",CONDITION,2
7a925f47-e58f-4886-b3ef-2e42d952a549,prospective_customer_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,117cf70d-7fa7-428d-9bed-34f7fa4eed02,Current customer credit conditions,,2,if,Y,integer,ApproveFlag,"1",ACTION,1
