ruleset_id,ruleset_nm,folder_path,ruleset_desc,rule_id,rule_nm,rule_desc,rule_seq_no,conditional,record_rule_fired_flag,datatype,lhs_term,expression,expression_type,expression_order
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,9fac8f17-ac6e-4f86-b0f5-af344d8d2d70,Default_assignment_1,assignment,1,if,N,boolean,DeclineFlag,"0",ACTION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,2c3d5b95-ede7-4582-98e8-65fc04755665,Default_assignment_4,assignment,2,if,N,,,"MonthlyIncome = orig_net_worth/26",ACTION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,7d0842f2-df02-40f9-8bb8-65b39f263148,Basic credit conditions,,3,if,Y,decimal,orig_credit_score,"<= 620",CONDITION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,7d0842f2-df02-40f9-8bb8-65b39f263148,Basic credit conditions,,3,if,Y,boolean,DeclineFlag,"1",ACTION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,7d0842f2-df02-40f9-8bb8-65b39f263148,Basic credit conditions,,3,if,Y,string,DeclineReason,"'Your credit score is below the minimum threshold'",ACTION,2
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,ca91e596-6fc7-4080-a955-0573487e8415,Default_rule_5_else_1,,4,elseif,Y,decimal,orig_debt_to_income,"> 100",CONDITION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,ca91e596-6fc7-4080-a955-0573487e8415,Default_rule_5_else_1,,4,elseif,Y,boolean,DeclineFlag,"1",ACTION,1
c8d26c8e-ddc8-4b55-b524-ff2002f6ff1c,screening_credit_check,/Financial Banking/07. Build Decisions - SAS Intelligent Decisioning,,ca91e596-6fc7-4080-a955-0573487e8415,Default_rule_5_else_1,,4,elseif,Y,string,DeclineReason,"'Your debt-to-income ratio exceeds our minimum requirements'",ACTION,2
