"bin_num","bin_value","mean_prediction","standard_error","variable"
"           9","-0.048040446","0.2850977412","0.0127049797","debt_to_income"
"          10","0.1730233691","0.2894276956","  0.01277466","debt_to_income"
"          11","0.3940871842","0.2937555148","0.0128408163","debt_to_income"
"          12","0.6151509993"," 0.298087522","0.0129035666","debt_to_income"
"          13","0.8362148144","0.3024301269","0.0129630324","debt_to_income"
"          14","1.0572786295"," 0.306789771","0.0130193375","debt_to_income"
"          15","1.2783424446","0.3111728752","0.0130726067","debt_to_income"
"          16","1.4994062597","0.3155857898","0.0131229644","debt_to_income"
"          17","1.7204700747","0.3200347514","0.0131705323","debt_to_income"
"          18","1.9415338898","0.3245258427","0.0132154288","debt_to_income"
"          19","2.1625977049"," 0.329064958","0.0132577675","debt_to_income"
"          20","  2.38366152","0.3336577701","0.0132976568","debt_to_income"
"           1","-1.874469347","0.3271371226","0.0132567407","num_transactions"
"           2","-1.664393975","0.3226553744","0.0132161567","num_transactions"
"           3","-1.454318602","0.3182277008","0.0131728885","num_transactions"
"           4","-1.244243229","0.3138470452","0.0131267293","num_transactions"
"           5","-1.034167856","0.3095058787","0.0130774723","num_transactions"
"           6","-0.824092484","0.3051962785","0.0130249117","num_transactions"
"           7","-0.614017111","0.3009100107","0.0129688448","num_transactions"
"           8","-0.403941738","0.2966386174","0.0129090731","num_transactions"
"           9","-0.193866365","0.2923735089","0.0128454046","num_transactions"
"          10","0.0162090076","0.2881060609","0.0127776567","num_transactions"
"          11","0.2262843804","0.2838277176","0.0127056583","num_transactions"
"          12","0.4363597532","0.2795300997","0.0126292533","num_transactions"
"          13","0.6464351259","0.2752051146","0.0125483021","num_transactions"
"          14","0.8565104987"," 0.270845066","0.0124626835","num_transactions"
"          15","1.0665858715","0.2664427596","0.0123722953","num_transactions"
"          16","1.2766612443","0.2619916002","0.0122770545","num_transactions"
"          17","1.4867366171","0.2574856782"," 0.012176896","num_transactions"
"          18","1.6968119898","0.2529198424","0.0120717719","num_transactions"
"          19","1.9068873626","  0.24828976","0.0119616499","num_transactions"
"          20","2.1169627354","0.2435919629","0.0118465128","num_transactions"
"           1","-3.367975146","0.3853035758","0.0135609607","credit_history_mos"
"           2","  -3.1281301","0.3771830864","0.0135306174","credit_history_mos"
"           3","-2.888285055","0.3692678368","0.0134966048","credit_history_mos"
"           4","-2.648440009","0.3615518227","0.0134587774","credit_history_mos"
"           5","-2.408594963"," 0.354026803","0.0134169438","credit_history_mos"
"           6","-2.168749918","0.3466823233","0.0133708622","credit_history_mos"
"           7","-1.928904872"," 0.339505744","0.0133202347","credit_history_mos"
"           8","-1.689059827","0.3324822701","0.0132647029","credit_history_mos"
"           9","-1.449214781"," 0.325594999","0.0132038478","credit_history_mos"
"          10","-1.209369735","0.3188250135","0.0131371956","credit_history_mos"
"          11"," -0.96952469","0.3121515501","0.0130642292","credit_history_mos"
"          12","-0.729679644","0.3055522615","0.0129844043","credit_history_mos"
"          13","-0.489834598","0.2990035818","0.0128971675","credit_history_mos"
"          14","-0.249989553","0.2924811835","0.0128019735","credit_history_mos"
"          15","-0.010144507","0.2859605081","0.0126983006","credit_history_mos"
"          16","0.2297005387"," 0.279417338","0.0125856624","credit_history_mos"
"          17","0.4695455843","0.2728283755","0.0124636132","credit_history_mos"
"          18","  0.70939063","0.2661717853","0.0123317475","credit_history_mos"
"          19","0.9492356756","0.2594276663"," 0.012189694","credit_history_mos"
"          20","1.1890807213","0.2525784349","0.0120371077","credit_history_mos"
