"account_id","age","amount","at_current_job_1_year","credit_history_mos","credit_score","debt_to_income","gender","Intercept","job_in_education","job_in_hospitality","net_worth","num_dependents","num_transactions"
"                                   10963"," 0.016220341","0.0093399415"," 0.066614719","0.0055786199","0.0152769017","0.0153186466","0.0118096288","0.5853263865","-0.007587486","0.0047798966","0.1076139626","0.1496021378","0.0105733167"
"                                   12277","-0.005214676","-0.139022181","0.1576337145","-0.101483554","0.1007503257","0.0542925238","-0.111423514","0.1703114955","-0.030502295","0.0274302078","0.2800242249","0.1146614067","0.1054302597"
"                                   12778","-0.003986228"," 0.006029076","0.0453916316","0.0639367014","0.0177321241","0.0157526249","0.0090829058","0.6287246149","-0.007248866","0.0034607458","0.1080932672"," 0.121559948","-0.013004568"
"                                   13489","0.0059978039","0.0061404775"," 0.042202249"," 0.012167529","0.1213342096","-0.009287515","0.0087115012"," 0.609627043","-0.007203925","0.0032805074","0.0937057466","0.1159889428","-0.006469922"
"                                   14488"," 0.000628674","0.0108776546","0.0820783299","-0.013274788","0.0731021794","0.0199971658","0.0141310377","0.4939196895","0.0685399401","0.0058972475","0.0949467077","0.1650442284","-0.029922083"
"                                     109","-0.000189501","-0.011083561","0.0220927107","-0.001607643","-0.025362389","-0.007333794","-0.020639228","0.1745712108","-0.007015594","0.0022398988"," -0.05927832"," -0.06519584","-0.001076165"
"                                    1372","-0.000392719","-0.017968904"," -0.10664294","-0.015709631","-0.005477023"," -0.02532533","0.0080271471","0.1852642227","-0.012970912"," 0.002872415","-0.021191171","0.0116864237","0.0098926744"
"                                    2458","-0.003682593","0.0044655697","0.0221114378","0.0261140618","-0.026352774","-0.004280363","0.0065839717","0.1999826401","-0.007059791","0.0022441832","-0.077287191","-0.130895241","-0.011741416"
"                                    3763"," -0.00398729","0.0051312123","-0.050039233","0.0149555979","-0.015115571","0.0032922208","0.0065722924","0.1971139993","-0.007007351","0.0022391004","-0.122773323","-0.013106816","-0.017168094"
"                                    4342","-0.007885554","0.0009621356","-0.051022518","-0.013932333","0.0508668089","-0.014491236","-0.020825327","0.1627592182","-0.007095053","0.0022476053","-0.054417624","-0.039331638","-0.007567522"
"                                    4414","-0.000187506","0.0002351971","-0.049443947","-0.001575872","-0.039760049","0.0081261139","-0.020496229","0.2156427028","-0.006954484"," 0.002233984","-0.147107114","0.0374863288","0.0018112409"
"                                    4849","  -0.0020758","-0.001998975"," -0.04949239","-0.007915586","-0.037562917","-0.009610608","0.0065614904","0.2030173765"," -0.00695878","-0.026532747","0.0415318612","-0.110181943","0.0012372106"
"                                    7330","0.0004401834","-0.020229103","-0.050653165","0.0011689756","-0.005200455","-0.012851964","0.0065844762","0.1582874513","-0.007062055","-0.026883428","0.0234418541","-0.066331933","-0.000504208"
"                                    9538","-0.007197571","0.0052600963","0.0220962485","-0.013063432","-0.020094513"," 0.017453709","-0.020658784","0.1822173956","-0.007023948","0.0022407082"," -0.01423701","-0.124009271","-0.022846597"
"                                    9790","-0.003209683","0.0023767157","-0.059035865","-0.019503175","0.0103720071","-0.001771135"," -0.02255017","0.1365791466","-0.007827727","0.0023195182","0.0167604335","-0.044818274","-0.008069727"
"                                   10527","0.0063655142","0.0010080964","-0.049379823","-0.011483364","-0.002631384","0.0014188908","-0.020482932","0.2570797134","-0.006948799","0.0022334344","-0.152764724","-0.038209315","0.0137947037"
"                                   11178","0.0009942913","0.0096107298","0.0753608553","0.0021559019","0.0538589251","-0.017392514","0.0130829091"," 0.523352626","-0.007751087","0.0053934112"," 0.134955922","0.1586503957","0.0357491297"
"                                   11814","0.0117369266","0.0041647649","  0.03985348","-0.011138402","0.0087473959","0.0067682498","-0.021386781","0.6413030518","0.0401311979","0.0031504657","0.1403408971","0.1114847425","0.0215196334"
