"account_id","age","amount","at_current_job_1_year","credit_history_mos","credit_score","debt_to_income","gender","Intercept","job_in_education","job_in_hospitality","net_worth","num_dependents","num_transactions"
"                                   12293","0.0058049472","0.0059405548","0.0234206207","0.0296389224","-0.007175203","0.0052359068","0.0066946122","0.7259400076","0.0309964451","0.0022994094","0.1183145507","0.0519478849","0.0007060224"
"                                   13271","-0.000588114","0.0214835417","0.1481579369","0.0255244583","0.0593148607","0.0117763475","0.0299418741","0.3353086359","-0.010339983"," 0.013363054","0.1795128768","0.0586155815","0.0770411455"
"                                   14123","0.0368074063","0.0134109191","0.1738672381","-0.027317488","-0.011097865","0.0117929834","0.0429677784","0.1975019519","-0.013195664","0.0193072643","0.1547636609","0.2369253673","0.0699518919"
"                                   15065"," -0.02887243","-0.021747981","-0.220412938","-0.029615167","0.1016090338","-0.039789978","-0.121633377","0.4761188253"," -0.03978916","0.0093721213","-0.027370501"," 0.081806368","-0.001113313"
"                                   15146","-0.006789759","0.0074769927","0.0449491559","0.0125719977","-0.032594611","0.0223581371"," 0.009030834","0.6366580682","0.0431546996","0.0034354839","0.1835060579","0.0599135343","0.0119476711"
"                                    1346","-0.003350605","-0.016678274","0.0220880142","-0.012298919","-0.025589844","0.0118572188","-0.020613261","0.1708871161","-0.007004501","0.0022388244","-0.057451659","-0.038637852","-0.025344714"
"                                    1724","-0.004288069","-0.001995585","-0.049379748","-0.019544761","-0.011594029","-0.000457391","-0.020482917","0.3931924608","-0.006948792","0.0022334337","-0.149576175","-0.107893408"," -0.02326502"
"                                    3416","0.0004417578","0.0000277032","0.0223130387","-0.014755516","0.0185826511","0.0086688004","-0.021851878","0.2025212114"," -0.00753193","0.0022902984","-0.144153763","-0.077221388","0.0117403889"
"                                    3623","-0.005964337","-0.022461131","-0.051629845","-0.014035217","-0.022766562","-0.007420595","0.0066039834","0.1554201828","-0.007149458","0.0022528921","-0.034709622","-0.013385455","0.0156117269"
"                                    3992","0.0036280862"," -0.00896961","-0.096509244","-0.007959352","0.0107821586","-0.001132544","0.0077054227","0.2362372675","-0.011744946","-0.043200869","0.0509053212","-0.143844796","0.0135177624"
"                                    4172","-0.005767741"," -0.03523083","0.0241661402","-0.014103318","-0.036235187","0.0201304126","-0.031637793","0.1716395017","-0.011577408"," 0.002713622","-0.083183749","0.0404224458","-0.032275175"
"                                    5513","0.0001155477","-0.008077483","0.0223819701","-0.000485786","-0.010188719","-0.019733127"," -0.02222906","0.1248500452","-0.007691843","-0.029030256"," -0.05614822"," 0.011854545","-0.004249139"
"                                    7715","-0.007559068","0.0056443934","0.0221254352","-0.001647742","-0.044124883","-0.012491452","0.0065913299","0.1608031372","-0.007092788","-0.026987861","-0.078881429"," -0.01327436","-0.002841894"
"                                    9431","0.0020500829","-0.013145029","-0.055197244","-0.021075704"," -0.04620269","-0.002086941","0.0066765626","0.1412784752","-0.007472707","0.0022844788","0.0126397901","-0.014018634","-0.004768732"
"                                    9794","-0.001765895","0.0010778249","0.0220865075","0.0135789809","  -0.0230527","-0.000464494"," -0.02060493","0.2112241377","-0.007000941","0.0022384796","-0.058844523","-0.155063307","0.0166859119"
